"filename", "language", "CMake", "C++", "YAML", "Dart", "Markdown", "JSON", "Swift", "XML", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\FINAL THESIS DEFENSE\fix-emotion\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 16, 42
"d:\FINAL THESIS DEFENSE\fix-emotion\analysis_options.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 14, 85
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 12, 9, 74
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\kotlin\com\example\fix_emotion\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\FINAL THESIS DEFENSE\fix-emotion\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"d:\FINAL THESIS DEFENSE\fix-emotion\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\FINAL THESIS DEFENSE\fix-emotion\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\FINAL THESIS DEFENSE\fix-emotion\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"d:\FINAL THESIS DEFENSE\fix-emotion\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\FINAL THESIS DEFENSE\fix-emotion\devtools_options.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"d:\FINAL THESIS DEFENSE\fix-emotion\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\AdminFeedbackpage.dart", "Dart", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 200
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\admin_dashboard.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\admin_sessions_detail_page.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 183
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\group_emotion_detail_page.dart", "Dart", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 351
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\admin-dashboard\group_management_widget.dart", "Dart", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 174
